FileID	Disk Offset	PackedSize	FileSize
dsk#	00000001	00000001	00000001
tpic	000004E0	00000000	0000C840
flig	0000CD20	00000000	00013054
floa	0001FD74	00000000	0001123E
jarr	00030FB2	00000000	0000D1DB
stra	0003E18D	00000000	0001D2D8
thef	0005B465	00000000	00010F8B
shaf	0006C3F0	00000000	0000CD09
love	000790F9	00000000	0000D322
cosm	0008641B	00000000	0000C9A6
nota	00092DC1	00000000	0000B7A9
eatt	0009E56A	00000000	000148E1
soun	000B2E4B	00000000	00011301
reto	000C414C	00000000	0000E1A3
Free	000D22EF	00000000	00009D11
