FileID	Disk Offset	PackedSize	FileSize
dsk#	00000001	00000001	00000001
tpic	00000590	00000000	0000C840
blad	0000CDD0	00000000	00006735
brea	00013505	00000000	0000597E
brig	00018E83	00000000	000035F0
cosm	0001C473	00000000	000057EB
eatt	00021C5E	00000000	00008836
flig	0002A494	00000000	00008CCD
floa	00033161	00000000	0000735A
jarr	0003A4BB	00000000	00006204
love	000406BF	00000000	000056BE
ment	00045D7D	00000000	0000639C
natu	0004C119	00000000	00004717
neve	00050830	00000000	00004D4D
nota	0005557D	00000000	00006175
obli	0005B6F2	00000000	0000452F
reto	0005FC21	00000000	00006982
shaf	000665A3	00000000	0000777E
skyr	0006DD21	00000000	00009B5B
soun	0007787C	00000000	00007223
stra	0007EA9F	00000000	0000BBC4
summ	0008A663	00000000	0000401E
tech	0008E681	00000000	00007700
thef	00095D81	00000000	000084B4
zero	0009E235	00000000	000062AA
Free	000A44DF	00000000	00037B21
