FileID	Disk Offset	PackedSize	FileSize
dsk#	00000001	00000001	00000001
summ	00000590	00000000	0000480A
brig	00004D9A	00000000	00004842
cosm	000095DC	00000000	00006525
natu	0000FB01	00000000	0000661F
obli	00016120	00000000	00006731
ment	0001C851	00000000	00006AD1
neve	00023322	00000000	0000754F
brea	0002A871	00000000	00007B2A
zero	0003239B	00000000	00007BDC
this	00039F77	00000000	0000816D
jarr	000420E4	00000000	00008904
reto	0004A9E8	00000000	00008A5A
tech	00053442	00000000	00008C52
love	0005C094	00000000	00009010
blad	000650A4	00000000	000095EA
shaf	0006E68E	00000000	00009F2C
floa	000785BA	00000000	0000A5BA
eatt	00082B74	00000000	0000B1BB
thef	0008DD2F	00000000	0000B24A
soun	00098F79	00000000	0000B463
skyr	000A43DC	00000000	0000C447
flig	000B0823	00000000	0000EC59
stra	000BF47C	00000000	00012B68
demo	000D1FE4	00000000	00004F18
Free	000D6EFC	00000000	00005104
