FileID	Disk Offset	PackedSize	FileSize
dsk#	00000001	00000001	00000001
summ	000005A0	00000000	0000480A
brig	00004DAA	00000000	00004842
cosm	000095EC	00000000	00006525
natu	0000FB11	00000000	0000661F
obli	00016130	00000000	00006731
ment	0001C861	00000000	00006AD1
neve	00023332	00000000	0000754F
brea	0002A881	00000000	00007B2A
zero	000323AB	00000000	00007BDC
this	00039F87	00000000	0000816D
jarr	000420F4	00000000	00008904
reto	0004A9F8	00000000	00008A5A
tech	00053452	00000000	00008C52
love	0005C0A4	00000000	00009010
blad	000650B4	00000000	000095EA
shaf	0006E69E	00000000	00009F2C
floa	000785CA	00000000	0000A5BA
eatt	00082B84	00000000	0000B1BB
thef	0008DD3F	00000000	0000B24A
soun	00098F89	00000000	0000B463
skyr	000A43EC	00000000	0000C447
flig	000B0833	00000000	0000EC59
stra	000BF48C	00000000	00012B68
tpic	000D1FF4	00000000	0000287E
demo	000D4872	00000000	00005181
Free	000D99F3	00000000	0000260D
