FileID	Disk Offset	PackedSize	FileSize
dsk#	00000001	00000001	00000001
tpic	000005A0	00000000	0000287E
demo	00002E1E	00000000	000053E7
jarr	00008205	00000000	00008904
soun	00010B09	00000000	0000B463
reto	0001BF6C	00000000	00008A5A
tech	000249C6	00000000	00008C52
brig	0002D618	00000000	00004842
natu	00031E5A	00000000	0000661F
obli	00038479	00000000	00006731
skyr	0003EBAA	00000000	0000C447
zero	0004AFF1	00000000	00007BDC
brea	00052BCD	00000000	00007B2A
shaf	0005A6F7	00000000	00009F2C
love	00064623	00000000	00009010
cosm	0006D633	00000000	00006525
this	00073B58	00000000	0000816D
eatt	0007BCC5	00000000	0000B1BB
thef	00086E80	00000000	0000B24A
stra	000920CA	00000000	00012B68
floa	000A4C32	00000000	0000A5BA
flig	000AF1EC	00000000	0000EC59
ment	000BDE45	00000000	00006AD1
blad	000C4916	00000000	000095EA
summ	000CDF00	00000000	0000480A
neve	000D270A	00000000	0000754F
Free	000D9C59	00000000	000023A7
